image,true_class,norm_pred_class,norm_conf,baseline_pred_class,baseline_conf,lighting_condition,color_cast
00c5c908-fc25-4710-a109-db143da23112___RS_Erly.B 7778.JPG,tomato_Early blight,tomato_healthy,0.9991605281829834,tomato_Late blight,0.6485035419464111,standard_field_lighting,neutral
00c5c908-fc25-4710-a109-db143da23112___RS_Erly.B 7778_final_masked.jpg,tomato_Early blight,tomato_healthy,0.9426734447479248,tomato_Early blight,0.510532021522522,low_light_or_heavy_shadow,neutral
0208ed52-1b28-4c9c-88e3-4667581e1109___RS_Erly.B 7829.JPG,tomato_Early blight,tomato_healthy,0.8817382454872131,tomato_Late blight,0.9785071611404419,standard_field_lighting,neutral
0378db62-5231-4eff-815d-c0deb0043e80___RS_Erly.B 7464.JPG,tomato_Early blight,tomato_Late blight,0.826784610748291,tomato_Early blight,0.7000808715820312,standard_field_lighting,neutral
03b7a13c-f5c0-44c4-beed-443841670e9a___RS_Erly.B 8225.JPG,tomato_Early blight,tomato_Late blight,0.5603895783424377,tomato_Late blight,0.5170456767082214,standard_field_lighting,neutral
0401adc0-0998-4d8e-90de-4eae8caf4248___RS_Erly.B 8446.JPG,tomato_Early blight,tomato_healthy,0.5031664967536926,tomato_Late blight,0.624449610710144,standard_field_lighting,neutral
0401adc0-0998-4d8e-90de-4eae8caf4248___RS_Erly.B 8446_final_masked.jpg,tomato_Early blight,tomato_healthy,0.7194510698318481,tomato_Late blight,0.6650547981262207,low_light_or_heavy_shadow,neutral
04747279-48b2-4ce1-932b-e511424beb6b___RS_Erly.B 8240_final_masked.jpg,tomato_Early blight,tomato_Late blight,0.9271014928817749,tomato_Early blight,0.9855102300643921,low_light_or_heavy_shadow,neutral
0621aab4-b9fd-4012-b0a6-ba72e63cd87d___RS_Erly.B 8220.JPG,tomato_Early blight,tomato_Late blight,0.7651561498641968,tomato_Late blight,0.9764194488525391,standard_field_lighting,neutral
06d0298e-18e5-4bf5-8d33-8feef6600f15___RS_Erly.B 7573_final_masked.jpg,tomato_Early blight,tomato_healthy,0.9999986886978149,tomato_Late blight,0.9634062051773071,low_light_or_heavy_shadow,neutral
072ae43a-416b-434a-a5a2-1b48bc47fada___RS_Erly.B 7472_final_masked.jpg,tomato_Early blight,tomato_healthy,0.9997134804725647,tomato_Early blight,0.9965953230857849,low_light_or_heavy_shadow,neutral
074bc781-f586-46b0-bef5-0237e3bf5043___RS_Erly.B 8375.JPG,tomato_Early blight,tomato_Late blight,0.9080513119697571,tomato_Early blight,0.6269809603691101,standard_field_lighting,neutral
090af0e4-75f2-495a-8bca-a3370c6dd2a6___RS_Erly.B 9562.JPG,tomato_Early blight,tomato_Late blight,0.6063944697380066,tomato_Early blight,0.9621965885162354,standard_field_lighting,neutral
0982d864-182e-4d36-959a-dcc67d85d9e6___RS_Erly.B 9481.JPG,tomato_Early blight,tomato_Late blight,0.6308966279029846,tomato_Early blight,0.6415475606918335,standard_field_lighting,neutral
0a2726e0-3358-4a46-b6dc-563a5a9f2bdf___RS_Erly.B 7860.JPG,tomato_Early blight,tomato_healthy,0.5922523736953735,tomato_Early blight,0.5986632704734802,standard_field_lighting,neutral
0a2726e0-3358-4a46-b6dc-563a5a9f2bdf___RS_Erly.B 7860_final_masked.jpg,tomato_Early blight,tomato_healthy,0.9684882164001465,tomato_Early blight,0.7841949462890625,low_light_or_heavy_shadow,neutral
0abc57ec-7f3b-482a-8579-21f3b2fb780b___RS_Erly.B 7609_final_masked.jpg,tomato_Early blight,tomato_healthy,0.6399227380752563,tomato_Early blight,0.8625842928886414,low_light_or_heavy_shadow,neutral
0c865fa4-b0bf-4e69-b39a-d97b068cef84___RS_Erly.B 7477_final_masked.jpg,tomato_Early blight,tomato_healthy,0.9792985916137695,tomato_Early blight,0.9988892674446106,low_light_or_heavy_shadow,neutral
0e03c87e-b43f-4cfe-a837-71306c68f4c0___RS_Erly.B 7733.JPG,tomato_Early blight,tomato_healthy,0.8166195154190063,tomato_Early blight,0.775398313999176,standard_field_lighting,neutral
0e03c87e-b43f-4cfe-a837-71306c68f4c0___RS_Erly.B 7733_final_masked.jpg,tomato_Early blight,tomato_healthy,0.9750543236732483,tomato_Early blight,0.5054484605789185,low_light_or_heavy_shadow,neutral
0e2e58b7-1417-49c4-b014-b5efb4b4b831___RS_Erly.B 8256.JPG,tomato_Early blight,tomato_Late blight,0.9841240048408508,tomato_Late blight,0.7267488837242126,standard_field_lighting,neutral
0e39c18a-9e04-4f6b-b557-dc0e944d22e5___RS_Erly.B 9501_final_masked.jpg,tomato_Early blight,tomato_healthy,0.7295607328414917,tomato_Late blight,0.8320624232292175,low_light_or_heavy_shadow,neutral
0f111718-a749-42cf-9495-412f4b51acf0___RS_Erly.B 7482_final_masked.jpg,tomato_Early blight,tomato_healthy,0.8970942497253418,tomato_Early blight,0.8908535242080688,low_light_or_heavy_shadow,neutral
0f4e562d-77ee-47c2-8ee9-34b391bc0fc3___RS_Erly.B 9434.JPG,tomato_Early blight,tomato_Late blight,0.6208894848823547,tomato_Late blight,0.6855142712593079,standard_field_lighting,neutral
10fedb70-9786-4623-a32b-97a622037511___RS_Erly.B 7796.JPG,tomato_Early blight,tomato_healthy,0.8305904269218445,tomato_Early blight,0.9989016056060791,standard_field_lighting,neutral
10fedb70-9786-4623-a32b-97a622037511___RS_Erly.B 7796_final_masked.jpg,tomato_Early blight,tomato_healthy,0.5110734105110168,tomato_Early blight,0.9970568418502808,low_light_or_heavy_shadow,neutral
11922494-321b-4742-afbe-f6db6a8b4005___RS_Erly.B 9392.JPG,tomato_Early blight,tomato_Late blight,0.8909606337547302,tomato_Early blight,0.7654931545257568,standard_field_lighting,neutral
13c87a78-0a62-4aff-b6f3-fcbf1a8323e6___RS_Erly.B 9612_final_masked.jpg,tomato_Early blight,tomato_healthy,0.9995052814483643,tomato_Early blight,0.6709059476852417,low_light_or_heavy_shadow,neutral
16c7ab4c-6940-41e9-854f-d1a9a99325ce___RS_Erly.B 8216.JPG,tomato_Early blight,tomato_Late blight,0.5728443264961243,tomato_Early blight,0.6785988807678223,standard_field_lighting,neutral
16d79bd2-5c70-4e6b-a52a-0c578b501d04___RS_Erly.B 6446.JPG,tomato_Early blight,tomato_Late blight,0.8524022102355957,tomato_Early blight,0.6059300899505615,standard_field_lighting,neutral
171b6622-c111-4fe9-b3f9-12b12ee0db06___RS_Erly.B 7836.JPG,tomato_Early blight,tomato_Late blight,0.5265105366706848,tomato_Early blight,0.8230043053627014,standard_field_lighting,neutral
17a09abf-ee69-4d46-ac80-f8608d799b19___RS_Erly.B 7451.JPG,tomato_Early blight,tomato_healthy,0.8157455921173096,tomato_Early blight,0.9998218417167664,standard_field_lighting,neutral
17a09abf-ee69-4d46-ac80-f8608d799b19___RS_Erly.B 7451_final_masked.jpg,tomato_Early blight,tomato_healthy,0.9952437281608582,tomato_Early blight,0.7866624593734741,low_light_or_heavy_shadow,neutral
1863e110-8422-400b-89a6-f0ef457659cc___RS_Erly.B 6462_final_masked.jpg,tomato_Early blight,tomato_healthy,0.6803793907165527,tomato_Early blight,0.6886618733406067,low_light_or_heavy_shadow,neutral
18a21f42-8794-4665-8174-b0ccd3758af8___RS_Erly.B 7650_final_masked.jpg,tomato_Early blight,tomato_healthy,0.5434708595275879,tomato_Early blight,0.9681751132011414,low_light_or_heavy_shadow,neutral
197fa869-c124-436e-b3cd-bced95f52a8e___RS_Erly.B 7834.JPG,tomato_Early blight,tomato_healthy,0.9871858954429626,tomato_Early blight,0.7254787087440491,standard_field_lighting,neutral
1b4a2ad5-057d-4fac-9188-648edbe49751___RS_Erly.B 7767.JPG,tomato_Early blight,tomato_healthy,0.9961734414100647,tomato_Early blight,0.9924682974815369,standard_field_lighting,neutral
1bdb9ab4-1a7a-449a-b848-c446d7615d42___RS_Erly.B 8443.JPG,tomato_Early blight,tomato_Late blight,0.896902322769165,tomato_Late blight,0.8526485562324524,standard_field_lighting,neutral
1bdb9ab4-1a7a-449a-b848-c446d7615d42___RS_Erly.B 8443_final_masked.jpg,tomato_Early blight,tomato_healthy,0.9814664125442505,tomato_Early blight,0.9174162149429321,low_light_or_heavy_shadow,neutral
1bff3ab2-9e99-4d4b-ad0e-acd943324050___RS_Erly.B 6460.JPG,tomato_Early blight,tomato_Late blight,0.7797625660896301,tomato_Early blight,0.987890362739563,standard_field_lighting,neutral
1c71757d-d351-4016-b5bb-06a63d0f2e24___RS_Erly.B 6388.JPG,tomato_Early blight,tomato_Late blight,0.6530141234397888,tomato_Early blight,0.9979931116104126,standard_field_lighting,neutral
1c71757d-d351-4016-b5bb-06a63d0f2e24___RS_Erly.B 6388_final_masked.jpg,tomato_Early blight,tomato_Late blight,0.5059068202972412,tomato_Early blight,0.9899958372116089,low_light_or_heavy_shadow,neutral
1c9e0f1a-7314-449c-9482-9059684ac82d___RS_Erly.B 7840_final_masked.jpg,tomato_Early blight,tomato_healthy,0.7222397327423096,tomato_Early blight,0.9324848651885986,low_light_or_heavy_shadow,neutral
