Author,Year,Title,Venue,DOI/URL,Relevance
"Hughes & Salathe",2015,"An open access repository of images on plant health to enable the development of mobile disease diagnostics","arXiv preprint","https://arxiv.org/abs/1511.08060","PlantVillage dataset — primary training data source"
"Mohanty, Hughes & Salathe",2016,"Using deep learning for image-based plant disease detection","Frontiers in Plant Science","10.3389/fpls.2016.01419","Foundational CNN plant disease classification benchmark"
"Selvaraju et al.",2017,"Grad-CAM: Visual Explanations from Deep Networks via Gradient-based Localization","ICCV 2017","10.1109/ICCV.2017.74","Core explainability method used in GreenScan+"
"Tan & Le",2019,"EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks","ICML 2019","https://arxiv.org/abs/1905.11946","Architecture backbone (EfficientNetB0)"
"Arrieta et al.",2020,"Explainable Artificial Intelligence (XAI): Concepts taxonomies opportunities and challenges","Information Fusion","10.1016/j.inffus.2019.12.012","XAI theoretical framework"
"Ferentinos",2018,"Deep learning models for plant disease detection and diagnosis","Computers and Electronics in Agriculture","10.1016/j.compag.2018.01.009","CNN plant disease benchmark"
"Chattopadhay et al.",2018,"Grad-CAM++: Generalized gradient-based visual explanations","WACV 2018","10.1109/WACV.2018.00097","Extension of Grad-CAM used for comparison context"
"Too et al.",2019,"A comparative study of fine-tuning deep learning models for plant disease identification","Computers and Electronics in Agriculture","10.1016/j.compag.2018.03.032","Transfer learning comparison for plant disease"
"TODO — verify",2021,"EfficientNet variants for plant disease classification","TODO — search required","TODO","EfficientNet applied to plant disease — specific paper TBD"
"TODO — verify",2020,"CNN-based plant disease severity estimation","TODO — search required","TODO","Severity estimation methodology — specific paper TBD"
"TODO — verify",2020,"Digital decision support for smallholder farmers","TODO — search required","TODO","Agricultural AI deployment context — specific paper TBD"
