filename,physical_leaf_id,true_class,predicted_class,confidence,correct,error_type,brightness,contrast,saturation,sharpness,leaf_area_ratio
5c81bfc2-d377-4fc8-9f51-ff26a997c20b___RS_Erly.B 6345.JPG,RS_Erly.B 6345,tomato_Early blight,tomato_Early blight,0.9988274,True,Correct Early Blight,82.416015625,25.166701217863437,98.94281005859375,884.0873219554778,0.999267578125
5c81bfc2-d377-4fc8-9f51-ff26a997c20b___RS_Erly.B 6345_final_masked.jpg,RS_Erly.B 6345,tomato_Early blight,tomato_Early blight,0.9997098,True,Correct Early Blight,64.69744873046875,57.586128150417075,100.23789978027344,925.0280759334564,0.6154937744140625
5c8ced5b-fa5c-41d4-8ad9-a3c7c4891355___RS_Erly.B 6350.JPG,RS_Erly.B 6350,tomato_Early blight,tomato_Early blight,0.98559755,True,Correct Early Blight,81.06039428710938,32.235243376130505,62.10075378417969,1277.9784850319847,0.99859619140625
5c8ced5b-fa5c-41d4-8ad9-a3c7c4891355___RS_Erly.B 6350_final_masked.jpg,RS_Erly.B 6350,tomato_Early blight,tomato_Early blight,0.89891064,True,Correct Early Blight,31.637466430664062,43.062755047343984,60.86357116699219,571.7374652398285,0.3929443359375
669eda4d-aa2e-4d84-9146-c96b047eb70e___RS_Erly.B 6369.JPG,RS_Erly.B 6369,tomato_Early blight,tomato_Early blight,0.9806754,True,Correct Early Blight,86.1202392578125,35.48528930929873,81.53153991699219,856.5064963249024,0.998016357421875
669eda4d-aa2e-4d84-9146-c96b047eb70e___RS_Erly.B 6369_final_masked.jpg,RS_Erly.B 6369,tomato_Early blight,tomato_Early blight,0.8666779,True,Correct Early Blight,52.9884033203125,54.634739223491984,78.2093505859375,805.2407849745359,0.5476226806640625
b24f8f98-4bfe-4605-85f5-738fc09e58fe___RS_Erly.B 6406_final_masked.jpg,RS_Erly.B 6406,tomato_Early blight,tomato_Early blight,0.8216872,True,Correct Early Blight,30.66400146484375,57.67088696114153,46.560577392578125,533.3862609863281,0.2412872314453125
375a4113-c296-4b3a-897b-da6f4ac660dc___RS_Erly.B 6408.JPG,RS_Erly.B 6408,tomato_Early blight,tomato_Early blight,0.9981029,True,Correct Early Blight,98.95552062988281,31.54655173696264,54.87254333496094,1257.7585859873798,0.9978179931640625
375a4113-c296-4b3a-897b-da6f4ac660dc___RS_Erly.B 6408_final_masked.jpg,RS_Erly.B 6408,tomato_Early blight,tomato_Early blight,0.9909266,True,Correct Early Blight,40.57331848144531,61.2408138570266,64.24549865722656,867.7821350060403,0.344970703125
0f03a09c-aa48-4d51-95e1-752c466c3742___RS_Erly.B 6413.JPG,RS_Erly.B 6413,tomato_Early blight,tomato_Early blight,0.9502462,True,Correct Early Blight,107.63166809082031,33.853909016557594,65.24516296386719,801.5217277323827,0.9990234375
0f03a09c-aa48-4d51-95e1-752c466c3742___RS_Erly.B 6413_final_masked.jpg,RS_Erly.B 6413,tomato_Early blight,tomato_Early blight,0.9930264,True,Correct Early Blight,43.4896240234375,63.44748287565929,69.33592224121094,839.6254577636719,0.360626220703125
3a7c19c6-a86d-4127-b00e-600cb0244ac4___RS_Erly.B 6415.JPG,RS_Erly.B 6415,tomato_Early blight,tomato_Early blight,0.64946526,True,Correct Early Blight,96.88200378417969,30.710532695969317,75.58975219726562,956.4461941570044,0.9987335205078125
3a7c19c6-a86d-4127-b00e-600cb0244ac4___RS_Erly.B 6415_final_masked.jpg,RS_Erly.B 6415,tomato_Early blight,tomato_Early blight,0.70180607,True,Correct Early Blight,39.705474853515625,54.677020072248425,82.37239074707031,569.3886260797735,0.3878173828125
0c221e01-a85e-4794-b45b-3a91e349a8d2___RS_Erly.B 6425.JPG,RS_Erly.B 6425,tomato_Early blight,tomato_Early blight,0.9832686,True,Correct Early Blight,89.35797119140625,35.67519977641415,61.61882019042969,686.6011710537132,0.996307373046875
0c221e01-a85e-4794-b45b-3a91e349a8d2___RS_Erly.B 6425_final_masked.jpg,RS_Erly.B 6425,tomato_Early blight,tomato_Early blight,0.98324066,True,Correct Early Blight,32.236358642578125,46.46297183279862,69.55514526367188,626.3204956017435,0.3707122802734375
d4971b21-317f-4fbd-95a8-ac21d69d7461___RS_Erly.B 6429_final_masked.jpg,RS_Erly.B 6429,tomato_Early blight,tomato_Early blight,0.9749801,True,Correct Early Blight,31.11669921875,48.63431151749374,59.7408447265625,748.2802538087126,0.3304290771484375
f9095543-43a8-4dac-8d06-041203fa5af5___RS_Erly.B 6435_final_masked.jpg,RS_Erly.B 6435,tomato_Early blight,tomato_Early blight,0.98622686,True,Correct Early Blight,33.29150390625,55.32351793587214,56.36846923828125,597.4657592773438,0.2988128662109375
92df4dc7-e952-4454-9fed-a7897d16903b___RS_Erly.B 6448.JPG,RS_Erly.B 6448,tomato_Early blight,tomato_Late blight,0.7816961,False,Early Blight -> Late Blight,100.24508666992188,31.798613429977546,0.0,1683.7320551311132,0.9998626708984375
92df4dc7-e952-4454-9fed-a7897d16903b___RS_Erly.B 6448_final_masked.jpg,RS_Erly.B 6448,tomato_Early blight,tomato_Early blight,0.73484546,True,Correct Early Blight,28.760879516601562,45.36115883864144,50.3199462890625,423.38360595703125,0.3206329345703125
98f19e26-5889-4e8e-9175-8dbbaa3439ef___RS_Erly.B 6449.JPG,RS_Erly.B 6449,tomato_Early blight,tomato_Late blight,0.9586695,False,Early Blight -> Late Blight,106.76081848144531,31.133185926854075,0.0,1448.7244578411337,1.0
98f19e26-5889-4e8e-9175-8dbbaa3439ef___RS_Erly.B 6449_final_masked.jpg,RS_Erly.B 6449,tomato_Early blight,tomato_Late blight,0.9710675,False,Early Blight -> Late Blight,25.803787231445312,44.96568921391146,46.046539306640625,447.56951904296875,0.280426025390625
a6041f09-68f2-4865-ad78-81018617d2c4___RS_Erly.B 6450_final_masked.jpg,RS_Erly.B 6450,tomato_Early blight,tomato_Late blight,0.89177394,False,Early Blight -> Late Blight,27.337249755859375,47.73260150812055,47.94413757324219,608.5495910644531,0.290252685546875
a725f34d-c57c-4189-9ec8-6aeec7fb6a78___RS_Erly.B 6452_final_masked.jpg,RS_Erly.B 6452,tomato_Early blight,tomato_Late blight,0.5292601,False,Early Blight -> Late Blight,28.66461181640625,43.232333270486876,59.213958740234375,430.8395690917969,0.3390045166015625
5a0ff573-924f-48c8-a3ef-ed82995ed145___RS_Erly.B 6478.JPG,RS_Erly.B 6478,tomato_Early blight,tomato_Early blight,0.9859703,True,Correct Early Blight,99.17686462402344,30.20749748134448,64.97578430175781,994.0036131457891,0.9997100830078125
5a0ff573-924f-48c8-a3ef-ed82995ed145___RS_Erly.B 6478_final_masked.jpg,RS_Erly.B 6478,tomato_Early blight,tomato_Early blight,0.9806973,True,Correct Early Blight,38.91413879394531,49.93807534034548,73.863037109375,606.654159543803,0.4247283935546875
23e8ae15-6cfc-4518-9266-3a289a7bced7___RS_Erly.B 6479.JPG,RS_Erly.B 6479,tomato_Early blight,tomato_Early blight,0.9679436,True,Correct Early Blight,102.31932067871094,30.96020872300947,59.55445861816406,945.8332509957254,0.99969482421875
