filename,filepath,class,physical_leaf_id,split,sha256,is_exact_duplicate,duplicate_group_id,pred_class,pred_index,true_index,confidence,is_correct,prob_tomato_Early blight,prob_tomato_Late blight,prob_tomato_healthy
92df4dc7-e952-4454-9fed-a7897d16903b___RS_Erly.B 6448.JPG,C:\Greenscan project\dataset\tomato_Early blight\92df4dc7-e952-4454-9fed-a7897d16903b___RS_Erly.B 6448.JPG,tomato_Early blight,RS_Erly.B 6448,test,1a19f4027e37afc4c099560d6f00fa8a95350a830f001f35bd4797d07978c14b,False,,tomato_Late blight,1,0,0.68601406,False,0.31398332,0.68601406,2.638384e-06
98f19e26-5889-4e8e-9175-8dbbaa3439ef___RS_Erly.B 6449.JPG,C:\Greenscan project\dataset\tomato_Early blight\98f19e26-5889-4e8e-9175-8dbbaa3439ef___RS_Erly.B 6449.JPG,tomato_Early blight,RS_Erly.B 6449,test,f01d1bb4fef52ad6984fbdcb5ac0add139322b1f9ab6681150270f9928d0cb0a,False,,tomato_Late blight,1,0,0.65735024,False,0.34264863,0.65735024,1.1691542e-06
a725f34d-c57c-4189-9ec8-6aeec7fb6a78___RS_Erly.B 6452_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\a725f34d-c57c-4189-9ec8-6aeec7fb6a78___RS_Erly.B 6452_final_masked.jpg,tomato_Early blight,RS_Erly.B 6452,test,e483446358a664d78d999d163cab42c875297200d210093ad1f4260f080a3198,False,,tomato_Late blight,1,0,0.50883764,False,0.49108174,0.50883764,8.054187e-05
54e98d19-a7a0-44d8-a004-1eaee5f3610b___RS_Erly.B 7348.JPG,C:\Greenscan project\dataset\tomato_Early blight\54e98d19-a7a0-44d8-a004-1eaee5f3610b___RS_Erly.B 7348.JPG,tomato_Early blight,RS_Erly.B 7348,test,18125b11128bd331bfe5e00c4f99d5e57adfe457c16d987d7e4dc58a268a6540,False,,tomato_Late blight,1,0,0.8458599,False,0.15413994,0.8458599,2.3768521e-07
c6e96373-484c-45da-b043-0a294a59ad2c___RS_Erly.B 7401_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\c6e96373-484c-45da-b043-0a294a59ad2c___RS_Erly.B 7401_final_masked.jpg,tomato_Early blight,RS_Erly.B 7401,test,5f77846fe96698205f2fbea0359bf0ccd3257887ed2076a27a14706acff2520d,False,,tomato_Late blight,1,0,0.7501679,False,0.24979137,0.7501679,4.0686384e-05
fbc07887-0306-4f85-9de9-ebb68a87753a___RS_Erly.B 7456_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\fbc07887-0306-4f85-9de9-ebb68a87753a___RS_Erly.B 7456_final_masked.jpg,tomato_Early blight,RS_Erly.B 7456,test,9346e1d3510ccc70c3d59b460cdaeaecb67e10edd8dadff7ede64e85cff06072,False,,tomato_Late blight,1,0,0.5848919,False,0.4146075,0.5848919,0.000500551
8a089fe7-9e6a-4db7-b0e8-9792e4abc326___RS_Erly.B 7466.JPG,C:\Greenscan project\dataset\tomato_Early blight\8a089fe7-9e6a-4db7-b0e8-9792e4abc326___RS_Erly.B 7466.JPG,tomato_Early blight,RS_Erly.B 7466,test,bc24efb0063343f9de51cae0e8a9357a24829d2553d535b90f3736d0003fdf51,False,,tomato_Late blight,1,0,0.9862027,False,0.01379687,0.9862027,4.283854e-07
072ae43a-416b-434a-a5a2-1b48bc47fada___RS_Erly.B 7472.JPG,C:\Greenscan project\dataset\tomato_Early blight\072ae43a-416b-434a-a5a2-1b48bc47fada___RS_Erly.B 7472.JPG,tomato_Early blight,RS_Erly.B 7472,test,f6852ee2bb6e834a6874109c0bc4988bac5d7223a1a05f353dcb9dba1dc43e8d,False,,tomato_Late blight,1,0,0.9828389,False,0.017132662,0.9828389,2.8355416e-05
072ae43a-416b-434a-a5a2-1b48bc47fada___RS_Erly.B 7472_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\072ae43a-416b-434a-a5a2-1b48bc47fada___RS_Erly.B 7472_final_masked.jpg,tomato_Early blight,RS_Erly.B 7472,test,4f6544aba142b2e915c35e39187ed5ebe887ac6e2286a6afe5449c2a77d1469c,False,,tomato_Late blight,1,0,0.6521849,False,0.29980534,0.6521849,0.048009776
a67b9ba1-99ff-4826-8f7b-1b89ca61980e___RS_Erly.B 7597_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\a67b9ba1-99ff-4826-8f7b-1b89ca61980e___RS_Erly.B 7597_final_masked.jpg,tomato_Early blight,RS_Erly.B 7597,test,99ca21007cc6b1d9865f9acffd76738f4cd60b14688e202f2671638bf229b41b,False,,tomato_Late blight,1,0,0.9275114,False,0.07245297,0.9275114,3.5600217e-05
f870ea24-aac9-41cd-92a3-72f87d395c33___RS_Erly.B 7598_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\f870ea24-aac9-41cd-92a3-72f87d395c33___RS_Erly.B 7598_final_masked.jpg,tomato_Early blight,RS_Erly.B 7598,test,d09a6369c598be6a806aed260071ad8729e04ff8a99740362b112563caa06208,False,,tomato_Late blight,1,0,0.89361566,False,0.10196636,0.89361566,0.0044180183
3f35dad7-734b-46ee-8193-09fd3c8562ff___RS_Erly.B 7600.JPG,C:\Greenscan project\dataset\tomato_Early blight\3f35dad7-734b-46ee-8193-09fd3c8562ff___RS_Erly.B 7600.JPG,tomato_Early blight,RS_Erly.B 7600,test,34d6092ef2efd1756743c1e8aca9da5ef74d1ea48c436e8325de25714cc2f361,False,,tomato_Late blight,1,0,0.9760709,False,0.023927549,0.9760709,1.5217022e-06
3f35dad7-734b-46ee-8193-09fd3c8562ff___RS_Erly.B 7600_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\3f35dad7-734b-46ee-8193-09fd3c8562ff___RS_Erly.B 7600_final_masked.jpg,tomato_Early blight,RS_Erly.B 7600,test,975b22d4a2d7e202197bba68459b9bda4626099454f3137584ab76bcb66b21d6,False,,tomato_Late blight,1,0,0.9839782,False,0.01584162,0.9839782,0.00018023222
e330dc16-fdf9-4eee-8b09-88bfb5537180___RS_Erly.B 7601_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\e330dc16-fdf9-4eee-8b09-88bfb5537180___RS_Erly.B 7601_final_masked.jpg,tomato_Early blight,RS_Erly.B 7601,test,926ba59ef1c15f71f940729dbf9c3defbbba239abd1eeaf1760223361d88f64a,False,,tomato_Late blight,1,0,0.97680783,False,0.023192074,0.97680783,4.1511772e-08
bd0f06fb-1f9a-4de8-8c96-926d312cea27___RS_Erly.B 7603_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\bd0f06fb-1f9a-4de8-8c96-926d312cea27___RS_Erly.B 7603_final_masked.jpg,tomato_Early blight,RS_Erly.B 7603,test,f4aa96b42a0a3bdd2f5239e38c24954dad19927c8b866a566e15986c53ebd83a,False,,tomato_Late blight,1,0,0.814653,False,0.18534634,0.814653,6.431277e-07
