filename,filepath,physical_leaf_id,true_class,predicted_class,confidence,correct,error_type,confidence_band,high_confidence_error,image_quality_observation,lighting_observation,leaf_visibility_observation,disease_visibility_observation,possible_contributing_factor,assessment_certainty
92df4dc7-e952-4454-9fed-a7897d16903b___RS_Erly.B 6448.JPG,C:\Greenscan project\dataset\tomato_Early blight\92df4dc7-e952-4454-9fed-a7897d16903b___RS_Erly.B 6448.JPG,RS_Erly.B 6448,tomato_Early blight,tomato_Late blight,0.7816961,False,Early Blight -> Late Blight,70–80%,False,standard resolution studio capture,balanced illumination,full leaf visible,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,possibly contributing
98f19e26-5889-4e8e-9175-8dbbaa3439ef___RS_Erly.B 6449.JPG,C:\Greenscan project\dataset\tomato_Early blight\98f19e26-5889-4e8e-9175-8dbbaa3439ef___RS_Erly.B 6449.JPG,RS_Erly.B 6449,tomato_Early blight,tomato_Late blight,0.9586695,False,Early Blight -> Late Blight,95–100%,True,standard resolution studio capture,balanced illumination,full leaf visible,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,clearly observable
98f19e26-5889-4e8e-9175-8dbbaa3439ef___RS_Erly.B 6449_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\98f19e26-5889-4e8e-9175-8dbbaa3439ef___RS_Erly.B 6449_final_masked.jpg,RS_Erly.B 6449,tomato_Early blight,tomato_Late blight,0.9710675,False,Early Blight -> Late Blight,95–100%,True,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,clearly observable
a6041f09-68f2-4865-ad78-81018617d2c4___RS_Erly.B 6450_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\a6041f09-68f2-4865-ad78-81018617d2c4___RS_Erly.B 6450_final_masked.jpg,RS_Erly.B 6450,tomato_Early blight,tomato_Late blight,0.89177394,False,Early Blight -> Late Blight,80–90%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,clearly observable
a725f34d-c57c-4189-9ec8-6aeec7fb6a78___RS_Erly.B 6452_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\a725f34d-c57c-4189-9ec8-6aeec7fb6a78___RS_Erly.B 6452_final_masked.jpg,RS_Erly.B 6452,tomato_Early blight,tomato_Late blight,0.5292601,False,Early Blight -> Late Blight,50–70%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,possibly contributing
3754ec0a-13b7-40c5-9839-b7499b6c365b___RS_Erly.B 7449_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\3754ec0a-13b7-40c5-9839-b7499b6c365b___RS_Erly.B 7449_final_masked.jpg,RS_Erly.B 7449,tomato_Early blight,tomato_healthy,0.8384317,False,Early Blight -> Healthy,80–90%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,very small focal lesion or subtle marginal chlorosis on predominantly green blade,mild symptoms,clearly observable
fbc07887-0306-4f85-9de9-ebb68a87753a___RS_Erly.B 7456_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\fbc07887-0306-4f85-9de9-ebb68a87753a___RS_Erly.B 7456_final_masked.jpg,RS_Erly.B 7456,tomato_Early blight,tomato_Late blight,0.70175415,False,Early Blight -> Late Blight,70–80%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,possibly contributing
8a089fe7-9e6a-4db7-b0e8-9792e4abc326___RS_Erly.B 7466.JPG,C:\Greenscan project\dataset\tomato_Early blight\8a089fe7-9e6a-4db7-b0e8-9792e4abc326___RS_Erly.B 7466.JPG,RS_Erly.B 7466,tomato_Early blight,tomato_Late blight,0.7352406,False,Early Blight -> Late Blight,70–80%,False,standard resolution studio capture,balanced illumination,full leaf visible,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,possibly contributing
4e3c2c95-69ca-41d4-9b08-4e0bb7f425eb___RS_Erly.B 7469.JPG,C:\Greenscan project\dataset\tomato_Early blight\4e3c2c95-69ca-41d4-9b08-4e0bb7f425eb___RS_Erly.B 7469.JPG,RS_Erly.B 7469,tomato_Early blight,tomato_Late blight,0.91937506,False,Early Blight -> Late Blight,90–95%,True,standard resolution studio capture,balanced illumination,full leaf visible,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,clearly observable
10c1d7a4-bd14-4961-9b96-c7047589eccd___RS_Erly.B 7552_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\10c1d7a4-bd14-4961-9b96-c7047589eccd___RS_Erly.B 7552_final_masked.jpg,RS_Erly.B 7552,tomato_Early blight,tomato_Late blight,0.6001401,False,Early Blight -> Late Blight,50–70%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,possibly contributing
