Image ID,True Class,Predicted Class,Confidence,Leaf Pixels,Activated Pixels,Activation Threshold,Attention-Affected Region %,Mean Leaf Activation,Mean Activated Activation,Weighted Activation,Health Score,Severity
0012b9d2-2130-4a06-a834-b1f3af34f57e___RS_Erly.B 8389.JPG,tomato_Early blight,tomato_Late blight,0.6764178276062012,35593,2699,0.6,7.58,0.1559,0.7369,0.1559,66,Moderate
0012b9d2-2130-4a06-a834-b1f3af34f57e___RS_Erly.B 8389_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999308586120605,50176,16862,0.6,33.61,0.4909,0.7461,0.4909,50,Moderate
0034a551-9512-44e5-ba6c-827f85ecc688___RS_Erly.B 9432.JPG,tomato_Early blight,tomato_Early blight,0.7554864287376404,25796,8185,0.6,31.73,0.3435,0.8377,0.3435,47,Moderate
0034a551-9512-44e5-ba6c-827f85ecc688___RS_Erly.B 9432_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.997791051864624,50176,13174,0.6,26.26,0.4448,0.7496,0.4448,54,Moderate
004cbe60-8ff9-4965-92df-e86694d5e9ba___RS_Erly.B 8253.JPG,tomato_Early blight,tomato_Early blight,0.9999998807907104,38901,15658,0.6,40.25,0.5248,0.7441,0.5248,46,Moderate
004cbe60-8ff9-4965-92df-e86694d5e9ba___RS_Erly.B 8253_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999997615814209,50176,25631,0.6,51.08,0.6174,0.7554,0.6174,39,Severe
00c5c908-fc25-4710-a109-db143da23112___RS_Erly.B 7778.JPG,tomato_Early blight,tomato_healthy,0.9291836023330688,20061,8697,0.6,43.35,0.5075,0.6981,0.5075,97,Healthy
00c5c908-fc25-4710-a109-db143da23112___RS_Erly.B 7778_final_masked.jpg,tomato_Early blight,tomato_healthy,0.7698490619659424,50176,10774,0.6,21.47,0.406,0.7197,0.406,98,Healthy
00e7c4b2-3005-4558-9cfa-235e356cb7a8___RS_Erly.B 7844.JPG,tomato_Early blight,tomato_Early blight,0.880791962146759,23791,7147,0.6,30.04,0.39,0.7366,0.39,53,Moderate
00e7c4b2-3005-4558-9cfa-235e356cb7a8___RS_Erly.B 7844_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9998213648796082,50176,23738,0.6,47.31,0.5378,0.7642,0.5378,41,Moderate
0114f7b3-7f56-4bef-aa47-7a82da142d4b___RS_Erly.B 7437.JPG,tomato_Early blight,tomato_Early blight,0.997833788394928,24178,11325,0.6,46.84,0.5605,0.7407,0.5605,42,Moderate
0114f7b3-7f56-4bef-aa47-7a82da142d4b___RS_Erly.B 7437_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999923706054688,50176,20036,0.6,39.93,0.544,0.7297,0.544,47,Moderate
011aa278-a39e-40b0-b6e4-2e2f835889f0___RS_Erly.B 8251.JPG,tomato_Early blight,tomato_Early blight,0.9999998807907104,32548,15717,0.6,48.29,0.5886,0.7527,0.5886,41,Moderate
011aa278-a39e-40b0-b6e4-2e2f835889f0___RS_Erly.B 8251_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999994039535522,50176,18944,0.6,37.76,0.5537,0.7658,0.5537,47,Moderate
01861c93-ea8b-4820-aaa8-cc6003b3e75b___RS_Erly.B 7855.JPG,tomato_Early blight,tomato_Late blight,0.6070447564125061,19139,0,0.6,0.0,0.162,0.0,0.162,100,Healthy
01861c93-ea8b-4820-aaa8-cc6003b3e75b___RS_Erly.B 7855_final_masked.jpg,tomato_Early blight,tomato_Late blight,0.7763659358024597,50176,7022,0.6,13.99,0.2537,0.72,0.2537,63,Moderate
01f87f04-ff38-4aba-b7d1-587aa06e5282___RS_Erly.B 7851.JPG,tomato_Early blight,tomato_Early blight,0.9963262677192688,24449,12093,0.6,49.46,0.553,0.7624,0.553,40,Moderate
01f87f04-ff38-4aba-b7d1-587aa06e5282___RS_Erly.B 7851_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999649524688721,50176,11507,0.6,22.93,0.4618,0.7225,0.4618,57,Moderate
0208ed52-1b28-4c9c-88e3-4667581e1109___RS_Erly.B 7829.JPG,tomato_Early blight,tomato_Late blight,0.5794599652290344,22517,5293,0.6,23.51,0.3694,0.7379,0.3694,56,Moderate
0208ed52-1b28-4c9c-88e3-4667581e1109___RS_Erly.B 7829_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.5152674913406372,50176,8266,0.6,16.47,0.2908,0.7312,0.2908,61,Moderate
023fe2d4-6e1d-40ce-99ae-85ba90f436ff___RS_Erly.B 6354.JPG,tomato_Early blight,tomato_Early blight,0.9996346235275269,36998,7578,0.6,20.48,0.3874,0.7458,0.3874,58,Moderate
023fe2d4-6e1d-40ce-99ae-85ba90f436ff___RS_Erly.B 6354_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9994173049926758,50176,10736,0.6,21.4,0.3602,0.7548,0.3602,57,Moderate
0378db62-5231-4eff-815d-c0deb0043e80___RS_Erly.B 7464.JPG,tomato_Early blight,tomato_Late blight,0.8358922004699707,18632,40,0.6,0.21,0.1182,0.6041,0.1182,76,Mild
0378db62-5231-4eff-815d-c0deb0043e80___RS_Erly.B 7464_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9992486834526062,50176,16192,0.6,32.27,0.4809,0.7503,0.4809,51,Moderate
03b4571c-b1eb-4e2a-b372-307046913f50___RS_Erly.B 7548.JPG,tomato_Early blight,tomato_Early blight,0.9359481930732727,21072,7016,0.6,33.3,0.4096,0.7862,0.4096,49,Moderate
03b4571c-b1eb-4e2a-b372-307046913f50___RS_Erly.B 7548_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999878406524658,50176,14152,0.6,28.2,0.5045,0.7513,0.5045,53,Moderate
03b7a13c-f5c0-44c4-beed-443841670e9a___RS_Erly.B 8225.JPG,tomato_Early blight,tomato_Late blight,0.7494081258773804,29930,10438,0.6,34.87,0.4214,0.7772,0.4214,48,Moderate
03b7a13c-f5c0-44c4-beed-443841670e9a___RS_Erly.B 8225_final_masked.jpg,tomato_Early blight,tomato_Late blight,0.7511171698570251,50176,5332,0.6,10.63,0.2012,0.7569,0.2012,63,Moderate
0401adc0-0998-4d8e-90de-4eae8caf4248___RS_Erly.B 8446.JPG,tomato_Early blight,tomato_Late blight,0.913699746131897,33369,8779,0.6,26.31,0.3915,0.7677,0.3915,54,Moderate
0401adc0-0998-4d8e-90de-4eae8caf4248___RS_Erly.B 8446_final_masked.jpg,tomato_Early blight,tomato_Late blight,0.7072476744651794,50176,7719,0.6,15.38,0.2279,0.7413,0.2279,61,Moderate
04747279-48b2-4ce1-932b-e511424beb6b___RS_Erly.B 8240.JPG,tomato_Early blight,tomato_Early blight,0.5143543481826782,27587,3770,0.6,13.67,0.2475,0.7146,0.2475,63,Moderate
