Image ID,Test Condition,True Class,Predicted Class,Correct,Confidence,Leaf Pixels,Activated Pixels,Affected Region %,Weighted Activation,Health Score,Severity,Image Quality Passed,Failure Type
7b7780c0-f1b2-4095-924c-f3d7777b427e___RS_Erly.B 9613_final_masked.jpg,A. Normal,tomato_Early blight,tomato_Early blight,True,0.9795,50176,6883,13.72,0.3268,64,Moderate,True,None
7b7780c0-f1b2-4095-924c-f3d7777b427e___RS_Erly.B 9613_final_masked.jpg,B. Low-Resolution,tomato_Early blight,tomato_Early blight,True,0.9998,50176,16674,33.23,0.4842,48,Moderate,False,None
7b7780c0-f1b2-4095-924c-f3d7777b427e___RS_Erly.B 9613_final_masked.jpg,C. Slightly Blurred,tomato_Early blight,tomato_Early blight,True,0.9993,50176,12199,24.31,0.4201,57,Moderate,False,None
7b7780c0-f1b2-4095-924c-f3d7777b427e___RS_Erly.B 9613_final_masked.jpg,D. Dark,tomato_Early blight,tomato_Early blight,True,0.9419,50176,17353,34.58,0.4323,50,Moderate,False,None
7b7780c0-f1b2-4095-924c-f3d7777b427e___RS_Erly.B 9613_final_masked.jpg,E. Overexposed,tomato_Early blight,tomato_Early blight,True,0.999,50176,9477,18.89,0.3655,61,Moderate,True,None
7b7780c0-f1b2-4095-924c-f3d7777b427e___RS_Erly.B 9613_final_masked.jpg,F. Uneven Lighting,tomato_Early blight,tomato_Early blight,True,0.999,50176,14730,29.36,0.4314,54,Moderate,True,None
7b7780c0-f1b2-4095-924c-f3d7777b427e___RS_Erly.B 9613_final_masked.jpg,H. Partial Leaf,tomato_Early blight,tomato_Early blight,True,0.806,50176,5319,10.6,0.2863,65,Moderate,False,None
7b7780c0-f1b2-4095-924c-f3d7777b427e___RS_Erly.B 9613_final_masked.jpg,I. Rotated,tomato_Early blight,tomato_healthy,False,0.6819,50176,6799,13.55,0.2616,99,Healthy,True,High-confidence error
7b7780c0-f1b2-4095-924c-f3d7777b427e___RS_Erly.B 9613_final_masked.jpg,K. Small Portion,tomato_Early blight,tomato_Early blight,True,0.4651,50176,7936,15.82,0.2356,62,Moderate,True,Low-confidence correct (Warning)
3592b22c-09cd-4005-97c4-cdd11318cce0___RS_Erly.B 9391.JPG,A. Normal,tomato_Early blight,tomato_Early blight,True,0.9325,25890,13184,50.92,0.5541,37,Severe,True,None
3592b22c-09cd-4005-97c4-cdd11318cce0___RS_Erly.B 9391.JPG,B. Low-Resolution,tomato_Early blight,tomato_Early blight,True,0.9999,24757,6450,26.05,0.455,55,Moderate,False,None
3592b22c-09cd-4005-97c4-cdd11318cce0___RS_Erly.B 9391.JPG,C. Slightly Blurred,tomato_Early blight,tomato_Early blight,True,0.9962,24802,5764,23.24,0.3376,55,Moderate,False,None
3592b22c-09cd-4005-97c4-cdd11318cce0___RS_Erly.B 9391.JPG,D. Dark,tomato_Early blight,tomato_Late blight,False,0.7336,24476,6331,25.87,0.3714,55,Moderate,True,High-confidence error
